IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
211.108.194.141,50003,true,ICN,亚太,KR,韩国,首尔,65 ms,6.49
27.116.108.61,30012,true,ICN,亚太,KR,韩国,首尔,81 ms,5.75
92.243.74.2,8443,true,LAX,北美洲,US,美国,洛杉矶,208 ms,5.63
47.244.161.227,9443,true,HKG,亚太,HK,香港,香港,48 ms,5.39
222.235.135.123,10238,true,ICN,亚太,KR,韩国,首尔,71 ms,5.07
193.111.30.48,26512,true,NRT,亚太,JP,日本,东京,110 ms,4.99
38.59.241.39,10000,true,SJC,北美洲,US,美国,圣何塞,177 ms,4.74
37.123.193.101,17475,true,SJC,北美洲,US,美国,圣何塞,218 ms,3.91
59.127.80.162,12224,true,KHH,亚太,TW,台湾,高雄,196 ms,3.78
168.126.210.143,10397,true,KIX,亚太,JP,日本,大阪,196 ms,3.76
43.130.134.123,65001,true,ORF,北美洲,US,美国,诺福克,257 ms,3.72
175.125.207.253,30201,true,ICN,亚太,KR,韩国,首尔,77 ms,3.61
61.84.74.108,30017,true,ICN,亚太,KR,韩国,首尔,164 ms,3.40
45.59.185.71,13649,true,SJC,北美洲,US,美国,圣何塞,300 ms,3.18
182.226.53.214,12589,true,ICN,亚太,KR,韩国,首尔,69 ms,3.11
166.0.188.128,13657,true,LAX,北美洲,US,美国,洛杉矶,180 ms,2.93
175.125.207.253,33060,true,ICN,亚太,KR,韩国,首尔,72 ms,2.88
175.125.207.253,23627,true,ICN,亚太,KR,韩国,首尔,70 ms,2.87
218.148.35.119,21303,true,KIX,亚太,JP,日本,大阪,179 ms,2.70
154.17.227.66,587,true,LAX,北美洲,US,美国,洛杉矶,176 ms,2.69
210.179.32.202,10443,true,ICN,亚太,KR,韩国,首尔,165 ms,2.69
199.19.110.126,17062,true,LAX,北美洲,US,美国,洛杉矶,174 ms,2.66
59.3.87.55,22222,true,KIX,亚太,JP,日本,大阪,190 ms,2.63
43.156.56.22,7676,true,SIN,亚太,SG,新加坡,新加坡,89 ms,2.51
43.153.103.203,38454,true,SJC,北美洲,US,美国,圣何塞,191 ms,2.51
182.213.153.243,19888,true,NRT,亚太,JP,日本,东京,122 ms,2.49
192.210.226.196,587,true,YYZ,北美洲,CA,加拿大,多伦多,268 ms,2.45
59.7.203.104,10096,true,ICN,亚太,KR,韩国,首尔,179 ms,2.44
61.85.124.97,30002,true,ICN,亚太,KR,韩国,首尔,164 ms,2.38
157.254.227.37,587,true,EWR,北美洲,US,美国,纽瓦克,255 ms,2.37
185.82.218.224,9443,true,SOF,欧洲,BG,保加利亚,索菲亚,152 ms,2.32
182.226.53.214,25220,true,ICN,亚太,KR,韩国,首尔,69 ms,2.31
172.84.92.152,58723,true,NRT,亚太,JP,日本,东京,112 ms,2.31
219.77.65.212,23555,true,HKG,亚太,HK,香港,香港,252 ms,2.27
220.118.166.200,10080,true,KIX,亚太,JP,日本,大阪,188 ms,2.24
211.237.82.127,30008,true,ICN,亚太,KR,韩国,首尔,67 ms,2.19
61.84.78.175,18110,true,KIX,亚太,JP,日本,大阪,274 ms,2.16
61.32.133.149,23023,true,ICN,亚太,KR,韩国,首尔,81 ms,2.16
59.13.75.15,31337,true,FUK,亚太,JP,日本,福冈,211 ms,2.14
218.152.200.244,12317,true,ICN,亚太,KR,韩国,首尔,161 ms,2.00
43.156.97.73,57145,true,SIN,亚太,SG,新加坡,新加坡,222 ms,1.95
211.198.178.148,18111,true,KIX,亚太,JP,日本,大阪,258 ms,1.88
27.35.216.100,11443,true,ICN,亚太,KR,韩国,首尔,216 ms,1.85
45.159.51.121,32199,true,KUL,亚太,MY,马来西亚,吉隆坡,179 ms,1.83
166.0.199.145,30236,true,TPE,亚太,TW,台湾,台北,193 ms,1.82
61.85.205.67,25002,true,KIX,亚太,JP,日本,大阪,251 ms,1.80
154.17.226.32,62096,true,LAX,北美洲,US,美国,洛杉矶,176 ms,1.78
47.57.12.238,34237,true,HKG,亚太,HK,香港,香港,55 ms,1.75
154.26.178.3,11625,true,LAX,北美洲,US,美国,洛杉矶,191 ms,1.74
216.24.182.166,10001,true,LAX,北美洲,US,美国,洛杉矶,159 ms,1.72
154.21.94.70,882,true,LAX,北美洲,US,美国,洛杉矶,161 ms,1.70
211.196.226.172,32202,true,ICN,亚太,KR,韩国,首尔,147 ms,1.66
211.207.106.155,12345,true,ICN,亚太,KR,韩国,首尔,87 ms,1.66
38.207.171.114,33376,true,LAX,北美洲,US,美国,洛杉矶,161 ms,1.61
175.211.202.63,30001,true,ICN,亚太,KR,韩国,首尔,170 ms,1.60
220.86.189.63,10443,true,KIX,亚太,JP,日本,大阪,197 ms,1.60
216.24.187.204,587,true,LAX,北美洲,US,美国,洛杉矶,158 ms,1.54
49.166.108.89,10250,true,NRT,亚太,JP,日本,东京,248 ms,1.53
61.80.0.204,10081,true,KIX,亚太,JP,日本,大阪,190 ms,1.52
212.50.245.98,42512,true,KIX,亚太,JP,日本,大阪,64 ms,1.47
221.164.149.81,10268,true,ICN,亚太,KR,韩国,首尔,167 ms,1.46
202.60.191.6,17922,true,NRT,亚太,JP,日本,东京,129 ms,1.41
175.198.183.100,10943,true,ICN,亚太,KR,韩国,首尔,173 ms,1.38
221.153.42.212,12349,true,ICN,亚太,KR,韩国,首尔,157 ms,1.34
183.100.60.128,22105,true,ICN,亚太,KR,韩国,首尔,178 ms,1.27
185.186.244.184,81,true,AMS,欧洲,NL,荷兰,阿姆斯特丹,208 ms,1.26
210.87.195.160,587,true,ICN,亚太,KR,韩国,首尔,62 ms,1.22
23.106.143.190,39027,true,KIX,亚太,JP,日本,大阪,96 ms,1.21
2.58.56.31,1001,true,FRA,欧洲,DE,德国,法兰克福,209 ms,1.10
154.17.9.73,882,true,LAX,北美洲,US,美国,洛杉矶,189 ms,1.06
183.109.100.130,50000,true,ICN,亚太,KR,韩国,首尔,163 ms,0.97
183.178.22.246,11417,true,HKG,亚太,HK,香港,香港,204 ms,0.93
61.220.65.189,26832,true,TPE,亚太,TW,台湾,台北,164 ms,0.84
45.136.199.179,28443,true,OTP,欧洲,RO,罗马尼亚,布加勒斯特,220 ms,0.82
183.98.120.11,12266,true,ICN,亚太,KR,韩国,首尔,157 ms,0.81
45.94.31.75,1001,true,FRA,欧洲,DE,德国,法兰克福,214 ms,0.81
47.240.37.64,20051,true,SEA,北美洲,US,美国,西雅图,57 ms,0.81
175.195.48.68,10116,true,ICN,亚太,KR,韩国,首尔,184 ms,0.78
183.178.22.246,36669,true,HKG,亚太,HK,香港,香港,204 ms,0.75
154.21.85.62,22353,true,LAX,北美洲,US,美国,洛杉矶,175 ms,0.71
168.138.178.6,19990,true,SIN,亚太,SG,新加坡,新加坡,223 ms,0.70
154.17.9.35,882,true,LAX,北美洲,US,美国,洛杉矶,158 ms,0.70
61.82.242.222,27016,true,KIX,亚太,JP,日本,大阪,201 ms,0.69
183.98.53.177,10911,true,ICN,亚太,KR,韩国,首尔,174 ms,0.69
59.29.116.20,11965,true,FUK,亚太,JP,日本,福冈,188 ms,0.67
154.17.31.108,19355,true,LAX,北美洲,US,美国,洛杉矶,161 ms,0.62
58.176.229.127,35002,true,HKG,亚太,HK,香港,香港,61 ms,0.62
172.84.92.174,8526,true,NRT,亚太,JP,日本,东京,91 ms,0.60
43.154.202.186,23333,true,HKG,亚太,HK,香港,香港,161 ms,0.54
